Charter Date,Vessel Type,Charter Price ($/day),Duration (days),LNG Capacity (m),LPG Capacity (m),Cargo Capacity (DWT),Container Capacity (TEU),Size Category,Cargo Type,Vessel Length (m),Vessel breadth (m),Fuel Cost ($/liter),Age_of_Vess
2021-07-06,LNG Carrier,26787,274,148692.0,,,,Typical LNG Carrier,Liquified Natural Gas,253,40,0.6,12
2023-05-10,LNG Carrier,25509,250,129915.0,,,,Typical LNG Carrier,Liquified Natural Gas,208,46,0.69,8
2023-02-15,LPG Carrier,27633,170,,74813.0,,,Typical LPG Carrier,Liquified Petroleum Gas,131,28,0.67,11
2022-09-01,LNG Carrier,30691,110,100046.0,,,,Typical LNG Carrier,Liquified Natural Gas,267,48,0.78,9
2023-01-17,Tanker,26336,341,,,247867.0,,ULCC,Refined Products,178,31,0.53,8
2021-03-05,Bulk Carrier,16217,149,,,101530.0,,Handymax/Supramax,Coal,205,50,0.63,4
2021-07-12,Bulk Carrier,20670,57,,,65574.0,,Handysize,Grain,224,31,0.8,9
2021-09-04,LNG Carrier,46452,248,129096.0,,,,Typical LNG Carrier,Liquified Natural Gas,298,50,0.52,15
2023-06-01,LNG Carrier,41634,251,129514.0,,,,Typical LNG Carrier,Liquified Natural Gas,214,44,0.76,3
2022-05-10,Container Ship,16806,246,,,,6266.0,Feeder Ships,Consumer Goods,115,38,0.75,15
2021-06-09,Tanker,28098,72,,,315729.0,,Handysize,Refined Products,208,60,0.67,18
2021-07-07,LPG Carrier,36463,177,,42586.0,,,Typical LPG Carrier,Liquified Petroleum Gas,114,34,0.61,17
2021-08-26,Bulk Carrier,21154,202,,,59627.0,,Panamax,Iron Ore,125,22,0.53,17
2021-08-14,Container Ship,33510,182,,,,6960.0,Panamax Ships,Apparel,107,54,0.57,4
2022-05-09,LNG Carrier,32128,434,106048.0,,,,Typical LNG Carrier,Liquified Natural Gas,242,45,0.5,13
2023-12-11,LPG Carrier,30496,151,,36120.0,,,Typical LPG Carrier,Liquified Petroleum Gas,221,28,0.52,11
2021-05-30,Tanker,15106,174,,,306522.0,,Panamax,Crude Oil,81,35,0.7,18
2023-04-19,Tanker,42287,327,,,279982.0,,Aframax,Crude Oil,264,26,0.63,7
2022-01-25,LNG Carrier,44253,218,144850.0,,,,Typical LNG Carrier,Liquified Natural Gas,200,45,0.58,13
2023-01-14,Container Ship,18608,49,,,,11568.0,Panamax Ships,Apparel,284,31,0.76,1
2023-05-20,LPG Carrier,32908,323,,57992.0,,,Typical LPG Carrier,Liquified Petroleum Gas,154,40,0.78,6
2021-09-20,Tanker,21964,237,,,140522.0,,VLCC,Refined Products,94,32,0.69,10
2022-02-03,Bulk Carrier,14476,127,,,35397.0,,Handymax/Supramax,Iron Ore,155,43,0.59,17
2023-03-14,LPG Carrier,27472,204,,12436.0,,,Typical LPG Carrier,Liquified Petroleum Gas,199,30,0.54,14
2023-01-25,Bulk Carrier,17299,402,,,95579.0,,Panamax,Coal,294,52,0.64,5
2021-03-22,LNG Carrier,36737,118,145631.0,,,,Typical LNG Carrier,Liquified Natural Gas,293,45,0.54,11
2021-02-06,Bulk Carrier,29358,234,,,146001.0,,Handysize,Iron Ore,232,23,0.58,5
2022-01-04,LNG Carrier,51930,388,129437.0,,,,Typical LNG Carrier,Liquified Natural Gas,255,49,0.77,11
2022-11-20,Bulk Carrier,10401,206,,,138901.0,,Capesize,Coal,253,57,0.65,13
2022-03-10,Container Ship,28028,62,,,,5144.0,Feedermax Ships,Apparel,294,39,0.61,17
2021-04-05,Container Ship,11515,223,,,,9877.0,Feedermax Ships,Machinery,382,17,0.65,12
2021-11-02,Bulk Carrier,16692,244,,,179224.0,,Capesize,Coal,167,54,0.76,6
2022-06-21,LNG Carrier,43769,177,143580.0,,,,Typical LNG Carrier,Liquified Natural Gas,218,49,0.8,14
2024-01-21,Tanker,41612,94,,,84331.0,,LR1,Refined Products,346,25,0.52,3
2023-03-24,Container Ship,16813,292,,,,11005.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,299,48,0.79,14
2021-11-17,Bulk Carrier,10096,79,,,51621.0,,Panamax,Grain,165,60,0.51,11
2023-09-07,Tanker,45890,119,,,233890.0,,Aframax,Refined Products,149,46,0.66,11
2022-05-21,Tanker,43374,135,,,193854.0,,LR1,Refined Products,179,29,0.61,13
2022-08-15,LPG Carrier,28424,323,,29817.0,,,Typical LPG Carrier,Liquified Petroleum Gas,144,28,0.55,8
2021-12-18,Container Ship,28224,301,,,,3999.0,Panamax Ships,Consumer Goods,204,30,0.58,16
2021-07-21,Container Ship,34833,196,,,,13847.0,Feeder Ships,Electronics,346,43,0.8,16
2023-11-21,Tanker,34540,94,,,234941.0,,ULCC,Refined Products,95,24,0.52,9
2023-05-27,Container Ship,33688,79,,,,12141.0,Feeder Ships,Apparel,168,20,0.59,7
2023-01-20,LPG Carrier,37069,374,,32804.0,,,Typical LPG Carrier,Liquified Petroleum Gas,209,36,0.61,6
