Charter Date,Vessel Type,Charter Price ($/day),Duration (days),LNG Capacity (m),LPG Capacity (m),Cargo Capacity (DWT),Container Capacity (TEU),Size Category,Cargo Type,Vessel Length (m),Vessel breadth (m),Fuel Cost ($/liter),Age_of_Vess
2022-07-31,Container Ship,14241,316,,,,3997.0,New Panamax (Neo-Panamax) Ships,Machinery,165,43,0.63,2
2023-01-06,Tanker,31150,217,,,60918.0,,LR2,Refined Products,237,53,0.63,4
2022-06-04,LNG Carrier,43741,399,102154.0,,,,Typical LNG Carrier,Liquified Natural Gas,202,44,0.63,3
2021-11-14,Container Ship,29866,277,,,,3745.0,Post-Panamax Ships,Chemicals,82,47,0.63,14
2023-12-27,Container Ship,32987,173,,,,10140.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,184,23,0.78,7
2023-02-21,LPG Carrier,36210,159,,66947.0,,,Typical LPG Carrier,Liquified Petroleum Gas,183,17,0.68,18
2023-11-10,Container Ship,28622,311,,,,10031.0,Feeder Ships,Electronics,385,58,0.68,9
2023-08-12,Container Ship,10024,431,,,,3522.0,Feedermax Ships,Consumer Goods,100,52,0.65,9
2022-03-16,LPG Carrier,41448,94,,34095.0,,,Typical LPG Carrier,Liquified Petroleum Gas,202,23,0.53,9
2021-09-25,LNG Carrier,51416,229,112374.0,,,,Typical LNG Carrier,Liquified Natural Gas,273,45,0.56,17
2022-04-09,Tanker,34632,145,,,360100.0,,Suezmax,Refined Products,175,63,0.54,8
2022-10-15,Container Ship,21653,55,,,,4195.0,Panamax Ships,Chemicals,212,52,0.51,5
2023-02-21,Container Ship,20609,329,,,,5050.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,290,44,0.56,10
2022-07-15,Bulk Carrier,12209,243,,,67178.0,,Capesize,Iron Ore,269,29,0.55,5
2023-10-31,Bulk Carrier,29434,229,,,116307.0,,Handysize,Grain,181,29,0.61,4
2021-10-26,Tanker,47559,154,,,190361.0,,Aframax,Crude Oil,305,32,0.5,7
2023-06-17,Tanker,32443,387,,,311316.0,,Panamax,Refined Products,114,35,0.77,12
2022-06-07,Tanker,43048,361,,,143452.0,,Panamax,Crude Oil,341,33,0.52,10
2022-01-26,Container Ship,19500,75,,,,6158.0,New Panamax (Neo-Panamax) Ships,Chemicals,147,33,0.57,6
2023-09-25,Tanker,33960,338,,,76884.0,,LR2,Refined Products,76,62,0.51,12
2022-03-10,LNG Carrier,30203,207,128978.0,,,,Typical LNG Carrier,Liquified Natural Gas,276,43,0.52,1
2021-06-16,Container Ship,25482,435,,,,9617.0,Feeder Ships,Electronics,273,54,0.53,17
2021-07-18,Tanker,46430,235,,,168639.0,,ULCC,Refined Products,104,22,0.71,13
2023-02-01,Bulk Carrier,25795,161,,,52463.0,,Handymax/Supramax,Grain,114,43,0.74,5
2022-09-29,Tanker,36070,175,,,213670.0,,Panamax,Crude Oil,269,63,0.56,1
2022-02-27,Container Ship,13446,104,,,,4970.0,New Panamax (Neo-Panamax) Ships,Electronics,241,33,0.55,6
2021-01-29,Bulk Carrier,12850,213,,,140852.0,,Handysize,Coal,161,26,0.66,4
2023-10-14,LNG Carrier,34123,124,147753.0,,,,Typical LNG Carrier,Liquified Natural Gas,225,42,0.79,3
2023-07-01,LPG Carrier,38265,159,,75592.0,,,Typical LPG Carrier,Liquified Petroleum Gas,151,14,0.6,3
2022-06-13,Container Ship,13178,241,,,,12984.0,Panamax Ships,Consumer Goods,367,16,0.64,8
2022-06-11,Bulk Carrier,27830,245,,,97700.0,,Panamax,Iron Ore,136,34,0.66,5
2022-03-23,Container Ship,33779,276,,,,3650.0,Post-Panamax Ships,Electronics,400,26,0.54,15
2022-04-06,Bulk Carrier,26717,291,,,167569.0,,Panamax,Iron Ore,225,24,0.59,14
2021-06-15,Tanker,25334,114,,,132565.0,,LR2,Refined Products,167,33,0.72,2
2023-07-18,Bulk Carrier,15155,387,,,167155.0,,Handymax/Supramax,Grain,195,21,0.53,16
2021-12-01,LNG Carrier,48320,276,125992.0,,,,Typical LNG Carrier,Liquified Natural Gas,249,42,0.61,17
2023-09-19,Container Ship,20995,403,,,,12973.0,Feeder Ships,Chemicals,381,17,0.68,15
2023-10-18,LNG Carrier,53898,85,122151.0,,,,Typical LNG Carrier,Liquified Natural Gas,208,42,0.63,11
2022-04-01,LNG Carrier,45095,282,109956.0,,,,Typical LNG Carrier,Liquified Natural Gas,256,46,0.72,18
2022-03-22,Bulk Carrier,15835,310,,,17710.0,,Handymax/Supramax,Grain,109,28,0.69,15
2022-03-07,Container Ship,24191,199,,,,8569.0,Feedermax Ships,Electronics,133,34,0.61,14
2021-08-19,Tanker,29637,303,,,141900.0,,MR,Crude Oil,226,65,0.57,4
2023-11-03,Bulk Carrier,26114,336,,,155307.0,,Handymax/Supramax,Grain,205,42,0.54,18
2023-09-18,LPG Carrier,27500,301,,32487.0,,,Typical LPG Carrier,Liquified Petroleum Gas,196,16,0.54,9
2023-11-05,LPG Carrier,25045,170,,46289.0,,,Typical LPG Carrier,Liquified Petroleum Gas,145,31,0.6,18
2023-12-27,Container Ship,20914,395,,,,4412.0,New Panamax (Neo-Panamax) Ships,Consumer Goods,218,39,0.55,9
2023-11-24,Bulk Carrier,28738,108,,,140816.0,,Handysize,Grain,136,45,0.63,12
