Charter Date,Vessel Type,Route ID,Charter Price ($/day),Duration (days),Cargo Type/Use Case,Capacity/Bollard Pull,daily_consumption,Distance (nm),Port Fees ($),Average Speed (knots)
2022-05-23,Aframax,TD19,9392,2.777777777777778,Fuel Oil,97128,30,800,15000,12.0
2021-03-23,Aframax,TD19,5148,2.777777777777778,Fuel Oil,102586,30,800,15000,12.0
2023-02-19,VLCC,TD15,5730,32.738095238095234,Crude Oil,307491,55,11000,60000,14.0
2022-01-10,VLCC,TD3C,6867,19.345238095238095,Crude Oil,303236,55,6500,50000,14.0
2023-01-31,VLCC,STS3,5084,0.03571428571428571,Crude Oil,318110,55,12,0,14.0
2023-03-25,LR2,TC1,9457,17.94871794871795,Refined Products,82451,40,5600,30000,13.0
2022-01-31,LR1,TC1,8284,18.666666666666668,Refined Products,55852,35,5600,30000,12.5
2023-10-19,VLCC,TD15,9434,32.738095238095234,Crude Oil,305521,55,11000,60000,14.0
2022-12-16,MR,TC11,7303,9.722222222222223,Gasoline,49023,25,2800,18000,12.0
2023-06-04,MR,STS3,7766,0.041666666666666664,Gasoline,48741,25,12,0,12.0
2021-02-26,LR1,TC7,9056,12.333333333333334,Refined Products,56892,35,3700,20000,12.5
2021-09-29,MR,TC6,6647,4.166666666666667,Diesel,44081,25,1200,10000,12.0
2021-01-11,LR2,TC5,8956,17.94871794871795,Refined Products,77651,40,5600,30000,13.0
2022-08-26,LR2,TC1,9356,17.94871794871795,Refined Products,75226,40,5600,30000,13.0
2023-01-22,VLCC,TD3C,9155,19.345238095238095,Crude Oil,302823,55,6500,50000,14.0
2023-01-02,Aframax,TD8,6502,15.972222222222221,Crude Oil,101201,30,4600,30000,12.0
2021-03-01,MR,STS1,5641,0.034722222222222224,Diesel,41350,25,10,0,12.0
2023-05-16,LR2,TC1,9952,17.94871794871795,Refined Products,84728,40,5600,30000,13.0
2022-09-13,MR,TC6,8095,4.166666666666667,Diesel,43009,25,1200,10000,12.0
2023-12-17,LR2,TC7,5068,11.85897435897436,Refined Products,78481,40,3700,20000,13.0
2024-01-20,VLCC,TD15,8422,32.738095238095234,Crude Oil,317030,55,11000,60000,14.0
2021-01-15,LR1,TC7,9365,12.333333333333334,Refined Products,60394,35,3700,20000,12.5
2023-03-10,Suezmax,TD6,9986,3.8461538461538463,Refined Products,148489,40,1200,12000,13.0
2022-09-25,MR,TC6,5388,4.166666666666667,Diesel,42138,25,1200,10000,12.0
2022-06-15,LR1,TC7,5286,12.333333333333334,Refined Products,61292,35,3700,20000,12.5
2022-07-04,LR2,TC7,5812,11.85897435897436,Refined Products,84825,40,3700,20000,13.0
2021-06-04,MR,TC2_37,7895,10.416666666666666,Gasoline,45099,25,3000,25000,12.0
2022-04-17,VLCC,TD15,5726,32.738095238095234,Crude Oil,302425,55,11000,60000,14.0
2023-11-07,Suezmax,TD20,9493,13.782051282051283,Refined Products,148277,40,4300,35000,13.0
2021-08-03,MR,TC6,5140,4.166666666666667,Diesel,41006,25,1200,10000,12.0
2023-09-16,Aframax,STS1,8931,0.034722222222222224,Fuel Oil,97954,30,10,0,12.0
2022-05-17,MR,TC11,5740,9.722222222222223,Diesel,48180,25,2800,18000,12.0
2024-01-28,VLCC,STS1,6499,0.029761904761904764,Crude Oil,319435,55,10,0,14.0
2022-05-23,Aframax,TD8,7951,15.972222222222221,Crude Oil,99425,30,4600,30000,12.0
2023-11-08,MR,TC6,8596,4.166666666666667,Diesel,43184,25,1200,10000,12.0
2022-05-11,VLCC,STS3,6981,0.03571428571428571,Crude Oil,318181,55,12,0,14.0
2022-08-12,Suezmax,TD6,9381,3.8461538461538463,Refined Products,142475,40,1200,12000,13.0
2023-07-01,VLCC,TD3C,7556,19.345238095238095,Crude Oil,310836,55,6500,50000,14.0
2021-08-01,VLCC,TD15,5404,32.738095238095234,Crude Oil,319429,55,11000,60000,14.0
2021-12-02,VLCC,STS3,5742,0.03571428571428571,Crude Oil,318579,55,12,0,14.0
2022-01-02,LR2,TC1,5227,17.94871794871795,Refined Products,75626,40,5600,30000,13.0
2021-03-10,LR1,TC5,5984,18.666666666666668,Refined Products,64401,35,5600,30000,12.5
2021-10-29,MR,TC6,5309,4.166666666666667,Diesel,40343,25,1200,10000,12.0
2023-05-18,Aframax,STS1,6442,0.034722222222222224,Crude Oil,95651,30,10,0,12.0
2022-10-12,MR,TC11,8814,9.722222222222223,Gasoline,49778,25,2800,18000,12.0
2021-08-03,VLCC,TD3C,7743,19.345238095238095,Crude Oil,304508,55,6500,50000,14.0
2022-04-01,Suezmax,TD6,6933,3.8461538461538463,Refined Products,142748,40,1200,12000,13.0
2021-08-02,Aframax,TD8,9435,15.972222222222221,Fuel Oil,102941,30,4600,30000,12.0
2022-04-08,Suezmax,STS2,6647,0.04807692307692307,Crude Oil,140594,40,15,0,13.0
2021-12-16,MR,TC14,5142,13.888888888888888,Diesel,45566,25,4000,22000,12.0
